Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Cost_Was_Negative,Age_Group,Age_Risk,Downtime_Risk,Failure_Risk,Cost_Risk,Risk_Score,Health_Score,Risk_Category
MD04960,MRI Scanner,29-05-2014,11,MedEquip,Model-200,France,22114.12,27.26,1,2,3,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure,False,9+ Years,90.9090909090909,82.38916256157637,16.666666666666664,78.72116052554988,63.64279905540107,36.35720094459893,High Risk
MD05200,PET Scanner,25-01-2014,11,RescueTech,Model-650,France,25875.23,18.28,2,4,3,Component software patch after detecting data lag; functionality restored. critical failure critical failure,False,9+ Years,90.9090909090909,54.74137931034484,33.33333333333333,92.42164343432394,63.08856066178642,36.91143933821358,High Risk
MD01507,X-Ray Machine,21-09-2014,11,UltraMed,Model-500,France,1675.43,6.55,3,0,1,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,False,9+ Years,90.9090909090909,18.626847290640395,0.0,4.269755748042338,24.623823518618767,75.37617648138124,Low Risk
MD00528,MRI Scanner,06-06-2015,10,CardioSync,Model-350,UK,2623.64,3.92,5,0,1,Routine check completed; software crash observed during diagnostics. sensor replaced system crash,False,9+ Years,81.81818181818183,10.529556650246306,0.0,7.723771955738644,21.06725774985799,78.93274225014201,Low Risk
MD00791,Defibrillator,23-10-2020,5,UltraMed,Model-250,Japan,21910.6,20.16,5,6,3,Routine check completed; battery wear observed during diagnostics. quick fix stable condition,False,3-5 Years,36.36363636363637,60.529556650246306,50.0,77.97980430847733,56.027555129496626,43.972444870503374,High Risk
MD01215,Defibrillator,14-09-2018,7,ScanPro,Model-150,France,7081.83,13.07,3,4,2,voltage spike caused operational delay; inspection initiated. quick fix low priority fault,False,6-8 Years,54.54545454545454,38.700738916256164,33.33333333333333,23.963487332068357,37.312010050381424,62.687989949618576,Medium Risk
MD04973,Infusion Pump,04-02-2017,8,UltraMed,Model-550,Canada,8751.92,3.66,4,0,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch,False,6-8 Years,63.63636363636363,9.729064039408868,0.0,30.047074225595654,21.65540678421452,78.34459321578548,Low Risk
MD03055,X-Ray Machine,29-08-2018,7,MedEquip,Model-450,Japan,2816.17,4.42,5,0,1,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed,False,6-8 Years,54.54545454545454,12.068965517241379,0.0,8.425095228502876,16.214799609963897,83.7852003900361,Low Risk
MD04970,CT Scanner,28-02-2016,9,ScanPro,Model-600,France,7816.63,12.78,3,0,2,Component recalibration after detecting overheating; functionality restored. software reset quick fix,False,9+ Years,72.72727272727273,37.80788177339902,0.0,26.640121315484738,31.215843340571197,68.7841566594288,Medium Risk
MD00875,Infusion Pump,09-06-2023,2,RescueTech,Model-150,France,25476.99,32.58,2,2,3,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch,False,0-2 Years,9.090909090909092,98.76847290640394,16.666666666666664,90.97098649698626,54.642920989500254,45.357079010499746,High Risk
MD01103,PET Scanner,05-09-2023,2,CardioSync,Model-100,Japan,514.14,2.78,5,3,1,software crash caused operational delay; software patch initiated. sensor replaced hardware fault,False,0-2 Years,9.090909090909092,7.0197044334975365,25.0,0.03955939719638259,11.432005027670357,88.56799497232964,Low Risk
MD01087,Defibrillator,28-12-2017,8,RescueTech,Model-450,Italy,9284.06,9.66,3,1,2,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault,False,6-8 Years,63.63636363636363,28.201970443349754,8.333333333333332,31.985484688218403,30.084960797921333,69.91503920207867,Medium Risk
MD02218,PET Scanner,06-06-2017,8,RescueTech,Model-450,France,656.26,5.53,1,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared,False,6-8 Years,63.63636363636363,15.486453201970447,8.333333333333332,0.5572556706355987,19.984659821990977,80.01534017800903,Low Risk
MD02470,X-Ray Machine,28-07-2015,10,CardioSync,Model-100,USA,18117.12,23.0,1,3,3,voltage spike caused operational delay; inspection initiated. minor issue stable condition,False,9+ Years,81.81818181818183,69.27339901477833,25.0,64.16140816883339,57.477937701836545,42.522062298163455,High Risk
MD01526,Infusion Pump,13-04-2014,11,ImagingTech,Model-650,UK,9412.69,12.64,3,2,2,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared,False,9+ Years,90.9090909090909,37.3768472906404,16.666666666666664,32.454041342119936,40.88568063743429,59.11431936256571,Medium Risk
MD02916,Defibrillator,11-02-2023,2,ScanPro,Model-400,France,8700.12,2.69,1,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed,False,0-2 Years,9.090909090909092,6.742610837438424,8.333333333333332,29.858383914843117,12.312641852381969,87.68735814761803,Low Risk
MD03720,X-Ray Machine,25-02-2022,3,UltraMed,Model-500,Italy,3826.63,3.85,3,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue,False,3-5 Years,18.181818181818183,10.314039408866996,8.333333333333332,12.10586764941049,11.651748988905833,88.34825101109416,Low Risk
MD02925,Defibrillator,13-04-2023,2,CardioSync,Model-450,Italy,8061.03,7.35,1,0,1,Routine check completed; sensor misalignment observed during diagnostics. component issue component review,False,0-2 Years,9.090909090909092,21.089901477832512,0.0,27.53038988590793,13.651230238713158,86.34876976128685,Low Risk
MD03388,PET Scanner,30-12-2019,6,ImagingTech,Model-100,France,10668.46,6.43,2,1,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning,False,6-8 Years,45.45454545454545,18.257389162561577,8.333333333333332,37.02839716323423,24.47380527232441,75.52619472767559,Low Risk
MD05481,PET Scanner,02-10-2016,9,MedEquip,Model-250,Canada,5151.69,7.87,4,0,1,overheating caused operational delay; replacement initiated. quick fix stable condition,False,9+ Years,72.72727272727273,22.69088669950739,0.0,16.932624081182002,24.739245371543163,75.26075462845684,Low Risk
MD04893,X-Ray Machine,25-08-2021,4,ScanPro,Model-450,Canada,1025.0,2.29,4,0,1,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed,False,3-5 Years,27.27272727272727,5.511083743842366,0.0,1.900453840266731,7.48796134575151,92.51203865424849,Low Risk
MD00760,Infusion Pump,08-08-2018,7,MedEquip,Model-400,UK,2111.2,4.9,3,2,1,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement,False,6-8 Years,54.54545454545454,13.546798029556653,16.666666666666664,5.8571220939233335,21.14455473674257,78.85544526325742,Low Risk
MD02822,MRI Scanner,14-10-2019,6,ScanPro,Model-250,France,15636.5,8.91,2,4,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning,False,6-8 Years,45.45454545454545,25.892857142857146,33.33333333333333,55.125327885841635,37.88383181093456,62.11616818906544,Medium Risk
MD01974,X-Ray Machine,12-04-2016,9,ImagingTech,Model-350,UK,22274.36,22.31,1,3,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure,False,9+ Years,72.72727272727273,67.14901477832512,25.0,79.30486198105157,58.0511313751624,41.9488686248376,High Risk
MD01251,X-Ray Machine,26-05-2015,10,ImagingTech,Model-550,Italy,5339.08,4.54,2,0,1,Routine check completed; circuit failure observed during diagnostics. driver update average severity report,False,9+ Years,81.81818181818183,12.4384236453202,0.0,17.615224029674646,23.618208263167357,76.38179173683264,Low Risk
MD01934,MRI Scanner,07-08-2017,8,MedEquip,Model-400,Canada,7539.55,9.27,4,1,1,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash,False,6-8 Years,63.63636363636363,27.0012315270936,8.333333333333332,25.63081028646322,28.45380424269345,71.54619575730655,Medium Risk
MD03664,CT Scanner,17-04-2023,2,ImagingTech,Model-250,Japan,5806.37,4.37,3,0,1,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,False,0-2 Years,9.090909090909092,11.915024630541874,0.0,19.317407336847538,9.25617067471389,90.74382932528611,Low Risk
MD03879,CT Scanner,14-03-2023,2,UltraMed,Model-550,UK,14263.88,18.95,5,2,3,battery wear caused operational delay; system reset initiated. component issue moderate delay,False,0-2 Years,9.090909090909092,56.80418719211823,16.666666666666664,50.12532606450658,33.884503188718604,66.11549681128139,Medium Risk
MD00866,X-Ray Machine,19-08-2013,12,CardioSync,Model-350,Canada,615.3,7.81,2,0,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault,False,9+ Years,100.0,22.50615763546798,0.0,0.40805190367760324,26.83345767137591,73.16654232862409,Low Risk
MD01491,MRI Scanner,12-12-2021,4,RescueTech,Model-450,Italy,9661.42,13.09,2,2,2,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared,False,3-5 Years,27.27272727272727,38.762315270935964,16.666666666666664,33.360082674040406,28.755256570634323,71.24474342936568,Medium Risk
MD00480,MRI Scanner,02-07-2014,11,CardioSync,Model-200,USA,10793.5,9.7,1,3,2,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue,False,9+ Years,90.9090909090909,28.32512315270936,25.0,37.4838766315064,41.676130453932274,58.323869546067726,Medium Risk
MD03741,Infusion Pump,15-12-2018,7,MedEquip,Model-600,UK,1395.88,7.47,1,0,1,data lag caused operational delay; replacement initiated. component issue driver update applied,False,6-8 Years,54.54545454545454,21.45935960591133,0.0,3.251447323894204,17.99718825564315,82.00281174435685,Low Risk
MD04270,Infusion Pump,25-06-2015,10,ScanPro,Model-500,UK,3723.02,1.08,5,0,1,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning,False,9+ Years,81.81818181818183,1.785714285714286,0.0,11.728450601204484,19.245040769591547,80.75495923040845,Low Risk
MD05305,Infusion Pump,29-03-2021,4,ScanPro,Model-550,Japan,5071.91,2.31,2,1,1,Component replacement after detecting battery wear; functionality restored. driver update performance warning,False,3-5 Years,27.27272727272727,5.572660098522168,8.333333333333332,16.642011861262354,12.954745856354576,87.04525414364542,Low Risk
MD04554,Defibrillator,02-01-2019,6,UltraMed,Model-600,Italy,6074.52,2.75,4,1,1,battery wear caused operational delay; recalibration initiated. critical failure critical failure,False,6-8 Years,45.45454545454545,6.927339901477833,8.333333333333332,20.294189321949748,17.727948925742393,82.2720510742576,Low Risk
MD00430,Defibrillator,23-03-2016,9,ImagingTech,Model-250,Canada,3387.87,0.73,3,0,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared,False,9+ Years,72.72727272727273,0.708128078817734,0.0,10.507609719955168,16.8594149130909,83.1405850869091,Low Risk
MD01156,Infusion Pump,21-04-2023,2,ImagingTech,Model-150,France,1882.49,0.75,5,0,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch,False,0-2 Years,9.090909090909092,0.769704433497537,0.0,5.024007017239665,3.0538945516790124,96.94610544832099,Low Risk
MD03378,X-Ray Machine,06-04-2015,10,RescueTech,Model-300,USA,15094.36,17.23,4,7,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,False,9+ Years,81.81818181818183,51.50862068965518,58.333333333333336,53.15049072230141,59.946320714993206,40.053679285006794,High Risk
MD05233,Infusion Pump,27-01-2020,5,RescueTech,Model-500,Japan,1459.23,6.41,3,0,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault,False,3-5 Years,36.36363636363637,18.195812807881776,0.0,3.4822104742064353,13.427913209933095,86.5720867900669,Low Risk
MD01496,Infusion Pump,15-10-2023,2,UltraMed,Model-450,Canada,17516.9,31.38,1,6,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction,False,0-2 Years,9.090909090909092,95.07389162561577,50.0,61.97500472636446,57.73535025113944,42.26464974886056,High Risk
MD03382,CT Scanner,15-07-2019,6,UltraMed,Model-650,Canada,8801.93,10.45,2,3,2,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,False,6-8 Years,45.45454545454545,30.634236453201975,25.0,30.229244156883972,31.82702885824648,68.17297114175352,Medium Risk
MD02276,MRI Scanner,23-12-2018,7,RescueTech,Model-150,USA,8521.63,3.84,3,0,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared,False,6-8 Years,54.54545454545454,10.283251231527094,0.0,29.208203730167025,19.83570702458244,80.16429297541757,Low Risk
MD04343,X-Ray Machine,02-05-2023,2,ImagingTech,Model-650,Italy,774.33,1.29,4,0,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition,False,0-2 Years,9.090909090909092,2.432266009852217,0.0,0.9873457283682772,2.7453307668111386,97.25466923318886,Low Risk
MD00138,X-Ray Machine,27-10-2016,9,ImagingTech,Model-250,UK,21697.87,18.14,5,4,3,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault,False,9+ Years,72.72727272727273,54.310344827586206,33.33333333333333,77.20489909985979,56.27953781370236,43.72046218629764,High Risk
MD05344,PET Scanner,14-10-2015,10,RescueTech,Model-250,France,11578.5,14.8,5,3,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report,False,9+ Years,81.81818181818183,44.02709359605912,25.0,40.343372653528526,45.14043897315981,54.85956102684019,Medium Risk
MD03351,Defibrillator,08-05-2019,6,RescueTech,Model-550,Italy,14059.57,7.22,4,1,2,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault,False,6-8 Years,45.45454545454545,20.689655172413797,8.333333333333332,49.38109213806157,27.674024070245544,72.32597592975446,Medium Risk
MD05448,CT Scanner,18-03-2014,11,MedEquip,Model-500,France,13828.28,10.33,1,0,2,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,False,9+ Years,90.9090909090909,30.264778325123153,0.0,48.53857897254119,36.968967473863366,63.031032526136634,Medium Risk
MD04171,CT Scanner,25-03-2016,9,RescueTech,Model-600,Italy,1067.18,1.82,4,0,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,False,9+ Years,72.72727272727273,4.0640394088669956,0.0,2.054101664736659,16.175486701061978,83.82451329893803,Low Risk
MD01107,X-Ray Machine,16-03-2017,8,RescueTech,Model-100,Japan,5144.95,2.16,1,0,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition,False,6-8 Years,63.63636363636363,5.110837438423646,0.0,16.908072484763622,17.642138455752544,82.35786154424746,Low Risk
MD03601,CT Scanner,19-02-2016,9,ScanPro,Model-100,UK,8259.0,6.46,1,0,1,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,False,9+ Years,72.72727272727273,18.349753694581285,0.0,28.251529283971273,25.700686510623186,74.29931348937681,Low Risk
MD03042,Infusion Pump,23-03-2018,7,ImagingTech,Model-250,UK,8274.35,6.66,4,0,1,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed,False,6-8 Years,54.54545454545454,18.965517241379313,0.0,28.3074442698796,22.26023493548062,77.73976506451937,Low Risk
MD05197,PET Scanner,24-04-2016,9,UltraMed,Model-200,Japan,1653.21,5.6,1,1,1,software crash caused operational delay; recalibration initiated. moderate delay average severity report,False,9+ Years,72.72727272727273,15.701970443349754,8.333333333333332,4.1888156186037,22.593808802180213,77.4061911978198,Low Risk
MD04276,Infusion Pump,26-03-2020,5,CardioSync,Model-400,Japan,13611.33,10.4,1,4,2,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix,False,3-5 Years,36.36363636363637,30.48029556650247,33.33333333333333,47.74830169613647,35.96647628190531,64.0335237180947,Medium Risk
MD04582,PET Scanner,20-01-2014,11,ImagingTech,Model-250,UK,1726.91,6.69,5,0,1,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning,False,9+ Years,90.9090909090909,19.057881773399018,0.0,4.457280404365522,24.790638794710993,75.20936120528901,Low Risk
MD00183,Infusion Pump,16-01-2020,5,ScanPro,Model-400,Canada,7474.95,15.11,5,0,2,Component component upgrade after detecting overheating; functionality restored. data loss critical failure,False,3-5 Years,36.36363636363637,44.981527093596064,0.0,25.3954937985363,25.846284160513353,74.15371583948665,Low Risk
MD01874,X-Ray Machine,25-06-2013,12,MedEquip,Model-550,UK,4721.97,6.84,3,0,1,Component software patch after detecting overheating; functionality restored. reviewed logs component review,False,9+ Years,100.0,19.51970443349754,0.0,15.367295889356084,28.92937050792048,71.07062949207952,Medium Risk
MD02291,PET Scanner,13-09-2022,3,CardioSync,Model-200,Italy,3187.05,1.48,5,1,1,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement,False,3-5 Years,18.181818181818183,3.0172413793103448,8.333333333333332,9.776088712130349,8.99675379258281,91.00324620741719,Low Risk
MD01473,Defibrillator,17-05-2021,4,MedEquip,Model-500,UK,4469.43,1.48,2,1,1,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown,False,3-5 Years,27.27272727272727,3.0172413793103448,8.333333333333332,14.44737598438606,11.749193065215769,88.25080693478424,Low Risk
MD04436,PET Scanner,04-10-2015,10,ImagingTech,Model-300,USA,6040.43,7.13,3,0,1,Component replacement after detecting overheating; functionality restored. data loss system crash,False,9+ Years,81.81818181818183,20.412561576354683,0.0,20.170010698522063,26.521406976247185,73.47859302375281,Low Risk
MD02029,MRI Scanner,08-05-2016,9,CardioSync,Model-150,France,1159.43,6.55,4,0,1,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure,False,9+ Years,72.72727272727273,18.626847290640395,0.0,2.390137980700406,20.611536328786745,79.38846367121326,Low Risk
MD01834,Defibrillator,10-12-2016,9,UltraMed,Model-400,USA,8847.38,4.69,4,0,1,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied,False,9+ Years,72.72727272727273,12.900246305418722,0.0,30.394803512553914,24.494489139590947,75.50551086040906,Low Risk
MD01890,X-Ray Machine,10-02-2019,6,ScanPro,Model-200,Canada,7927.77,4.55,5,0,1,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning,False,6-8 Years,45.45454545454545,12.4692118226601,0.0,27.0449676694816,18.240666171603444,81.75933382839656,Low Risk
MD00766,MRI Scanner,14-10-2019,6,ImagingTech,Model-150,Canada,3936.93,6.0,3,0,1,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning,False,6-8 Years,45.45454545454545,16.933497536945815,0.0,12.507654160530285,16.672489184098893,83.3275108159011,Low Risk
MD00060,CT Scanner,03-11-2019,6,CardioSync,Model-500,Italy,7011.0,29.11,4,2,3,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,False,6-8 Years,45.45454545454545,88.08497536945814,16.666666666666664,23.70547700946985,45.2574971036405,54.7425028963595,Medium Risk
MD04497,Infusion Pump,05-07-2020,5,UltraMed,Model-150,USA,1817.57,1.88,1,0,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch,False,3-5 Years,36.36363636363637,4.248768472906404,0.0,4.787524874883389,9.504862789575872,90.49513721042413,Low Risk
MD00218,PET Scanner,14-12-2020,5,RescueTech,Model-200,UK,11287.03,12.44,4,5,3,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection,False,3-5 Years,36.36363636363637,36.76108374384236,41.66666666666667,39.281643601886756,38.65738111625734,61.34261888374266,Medium Risk
MD00605,X-Ray Machine,09-08-2014,11,RescueTech,Model-200,Japan,2814.4,5.21,1,0,1,Routine check completed; software crash observed during diagnostics. data loss critical failure,False,9+ Years,90.9090909090909,14.501231527093598,0.0,8.418647702440479,24.215917180434356,75.78408281956564,Low Risk
MD03054,CT Scanner,02-10-2013,12,UltraMed,Model-200,Japan,531.84,6.55,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,False,9+ Years,100.0,18.626847290640395,8.333333333333332,0.10403465782032113,28.10886111875618,71.89113888124382,Medium Risk
MD02772,MRI Scanner,04-10-2023,2,ImagingTech,Model-200,USA,5401.49,1.6,4,0,1,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown,False,0-2 Years,9.090909090909092,3.3866995073891633,0.0,17.84256307010064,6.402704284418695,93.59729571558131,Low Risk
MD00245,PET Scanner,03-01-2024,1,ImagingTech,Model-500,Canada,1965.68,6.55,3,1,1,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction,False,0-2 Years,0.0,18.626847290640395,8.333333333333332,5.3270407421721755,9.153462335626553,90.84653766437344,Low Risk
MD04295,CT Scanner,03-04-2017,8,CardioSync,Model-350,France,4589.14,5.36,5,1,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,False,6-8 Years,63.63636363636363,14.963054187192121,8.333333333333332,14.883440021069205,22.692876987644205,77.30712301235579,Low Risk
MD01690,Defibrillator,20-02-2021,4,UltraMed,Model-400,USA,9938.52,15.99,3,2,2,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed,False,3-5 Years,27.27272727272727,47.690886699507395,16.666666666666664,34.36946655646375,31.635704775690424,68.36429522430957,Medium Risk
MD01338,MRI Scanner,22-06-2022,3,RescueTech,Model-250,Japan,11902.07,12.01,3,0,2,Routine check completed; software crash observed during diagnostics. quick fix quick fix,False,3-5 Years,18.181818181818183,35.437192118226605,0.0,41.5220314151154,22.571927554854696,77.4280724451453,Low Risk
MD01833,X-Ray Machine,29-12-2021,4,CardioSync,Model-300,Italy,4786.69,5.36,2,1,1,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report,False,3-5 Years,27.27272727272727,14.963054187192121,8.333333333333332,15.603049497694007,15.564071610241893,84.4359283897581,Low Risk
MD00178,Infusion Pump,20-09-2022,3,ScanPro,Model-500,UK,2549.24,4.23,3,2,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared,False,3-5 Years,18.181818181818183,11.483990147783253,16.666666666666664,7.452757300912598,13.572112140881131,86.42788785911887,Low Risk
MD04233,X-Ray Machine,22-12-2022,3,CardioSync,Model-200,USA,4738.01,4.34,4,1,1,circuit failure caused operational delay; inspection initiated. driver update moderate delay,False,3-5 Years,18.181818181818183,11.822660098522169,8.333333333333332,15.42572431762772,12.768306529445832,87.23169347055416,Low Risk
MD00287,PET Scanner,27-08-2022,3,MedEquip,Model-150,Canada,683.72,4.87,1,0,1,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection,False,3-5 Years,18.181818181818183,13.454433497536947,0.0,0.657283391354997,7.80415036389572,92.19584963610428,Low Risk
MD03920,Defibrillator,13-03-2023,2,MedEquip,Model-150,Japan,27349.36,28.14,4,4,3,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue,False,0-2 Years,9.090909090909092,85.0985221674877,33.33333333333333,97.79141269667232,56.90602100776259,43.09397899223741,High Risk
MD01400,Infusion Pump,10-10-2019,6,ImagingTech,Model-200,Canada,15061.87,10.34,3,3,2,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition,False,6-8 Years,45.45454545454545,30.295566502463057,25.0,53.03214037102052,36.286007115852115,63.713992884147885,Medium Risk
MD04874,Infusion Pump,05-09-2023,2,MedEquip,Model-550,France,9151.57,9.56,3,3,2,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset,False,0-2 Years,9.090909090909092,27.894088669950744,25.0,31.50286732776272,23.986981884719583,76.01301811528042,Low Risk
MD00989,X-Ray Machine,30-10-2017,8,RescueTech,Model-300,Japan,8580.06,9.66,1,2,2,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue,False,6-8 Years,63.63636363636363,28.201970443349754,16.666666666666664,29.421044943627862,32.07207284900323,67.92792715099677,Medium Risk
MD00234,Defibrillator,30-09-2015,10,ImagingTech,Model-200,Canada,1596.39,1.62,2,0,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared,False,9+ Years,81.81818181818183,3.448275862068966,0.0,3.9818391039905823,18.194486943055175,81.80551305694482,Low Risk
MD04692,PET Scanner,04-01-2015,10,MedEquip,Model-550,France,5840.61,6.76,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed,False,9+ Years,81.81818181818183,19.273399014778324,0.0,19.44213236078899,26.034082540227665,73.96591745977233,Low Risk
MD00009,MRI Scanner,27-07-2017,8,RescueTech,Model-500,Italy,1071.13,0.68,4,1,1,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning,False,6-8 Years,63.63636363636363,0.5541871921182268,8.333333333333332,2.0684902115990633,15.807226927228008,84.19277307277198,Low Risk
MD01952,MRI Scanner,27-09-2023,2,MedEquip,Model-500,Italy,7049.45,14.18,4,1,2,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition,False,0-2 Years,9.090909090909092,42.118226600985224,8.333333333333332,23.845537674497557,21.722757333376897,78.2772426666231,Low Risk
